old_scheme_id,old_name,new_name
25811,BAGHEKHAITY B PWSS,BAGHEKHAITY -B PWSS
25812,BAGHEKHAITY A PWSS,BAGHEKHAITY - A PWSS
25917,Sialmari Pt-I PWSS,SIALMARI PT-I & PT-II PWSS
25982,CHEDAMARI B PWSS,CHEDAMARI B PWSS
26014,CHAPRAKATA PT.I B MPWSS,CHAPRAKATA PT.I B PWSS
26016,CHEDAMARI A PWSS,CHEDAMARI A PWSS
26120,Bagapani  PWSS,Pathelipara PWSS
26147,Sar-et Terang PWSS,Sar-Et Terang PWSS
26353,KANGJUK ATHOI WSS,Kangjuk Athoi PWSS
26379,Chandrasing Kro PWSS,Chandrasing Kro PWSS
26414,LAILUI KACHARI BOSTI PWSS,Parkoklangso PWSS
26416,MAISA DISA BASTI PWSS,Nagachang Amlaiguri PWSS
26417,KUSH PATHAR PWSS,Majuar pwss
26445,SARLOK PATHAR PWSS,Sarlok Pathar PWSS
26462,SUNPURA DIMASA PWSS,Gorjoga PWSS
26469,Doidak No.2 PWSS,Doidak No.2 PWSS
26470,Bahar Rongpi PWSS,Bahar Rongpi PWSS
26471,Sar Rongpi PWSS,Sar Rongpi PWSS
26473,Sikari Engti PWSS,Sikari Engti PWSS
26474,Sarthe Rongchehon PWSS,Sarthe Rongchehon PWSS
26479,Khorsing Enghee  PWSS,Longkoi Timung PWSS
26490,Lok Bok Tisso PWSS,DungKek Tisso PWSS
26492,Koch Gaon PWSS,Phulbari Pwss
26498,KADAMONI PATHAR PWSS,KADOMONI PATHAR PWSS
26517,Ramsing Terang PWSS,Mensing Terang PWSS
26522,Sarbura Engti (Nilip) PWSS,Sarbura Engti (Panjan) PWSS
26534,Sir Engti PWSS,Sarthe Rongpi PWSS
26535,Sarthe Enghi PWSS,Sarthe Enghi Gaon PWSS
26556,BAHATI CHAR PT-II  PWSS,Bahati Char Pt-II River Block PWSS
26573,GOROMARI NO 2 PWSS,Kalaichar PWSS
26584,GOROMARI (BHARBARI) PWSS,Singramari NC PWSS
26586,BAHATI CHAR NO 2 PWSS,Bahati River block Pt-I No.2 PWSS
26652,Rabhapara PWSS,Matia Rabhapara PWSS
26695,BORABARI PWSS,Berubari Pt-I PWSS
26774,Bijaynagar PWSS,KUMTOLA BIJAYNAGAR PWSS
26775,Aoujarguri PWSS,NEW ISLAMPUR AOUJARGURI PWSS
26782,Noushad Ali PWSS,HUDUMKATA NO 2
26788,LODRAIPARA PWSS,NARANGURI THARAIBARI PWSS
26801,Belguri PWSS,SIALMARI PWSS
26809,Mangalbasti PWSS,MAJHIBASTI MPWSS
26812,Pub Gardenpur PWSS,ALINAGAR BOROBASTI PWSS
27019,WEST MAORIAGAON PWSS,West Maoriagaon PWSS
27107,South Puthimari PWSS,ALITANGANI SADAGARBASTI PWSS
27115,NEW DAKHIN KATAHGURI PWSS,NEW DAKHIN KATHAGURI PWSS
27116,KOWAKURI PWSS,KOWAKURI PWSS
27136,KAMARPARA PWSS,Kamarpara Kharida Modati PWSS
27138,BONGSHIDHARMA PWSS,Bongshidharma-Sikargaon PWSS
27140,Athiabari PWSS(Gossainichina),Athiabari-Gossainichina PWSS
27170,Muthupara-Bhalukjhora PWSS,Bhalukjhora-Ujanpara PWSS
27176,Bangaljhora PWSS,BANGALJHORA BHAWRAGURI PWSS
