name,total_cost,central_share,state_share,planned_fhtc,parent_smtid,old_scheme_id,IMIS id
BEDWATI  SARLOK PWSS,5441000,4652000,517000,1108,4346,30399,
Behenapara PWSS (revised),3800000,3420000,380000,250,4413,30617,
Behora Bagicha PWSS,571900,514700,57200,330,6745,32243,
BELGURI-I PWSS,9077000,7761000,862000,143,654,29661,8226664
Beloguri,1149500,1034600,115000,177,7655,32893,
BELPARA PWSS (revised),3800000,3420000,380000,271,2765,32395,
BELTOLA PWSS,1637000,1473300,163700,128,6134,29747,8219641
Benedik Pather PWSS,3198700,2878800,319900,198,7264,29475,5498225
BENGTOL PWSS,1084000,975600,108400,447,5537,32115,
Berabak PWSS,4456000,3809900,423300,257,7084,31093,8227645
Berabhanga PWSS (revised),2091000,1882000,209000,117,4428,32106,
BERATOOK WSS,4372000,3935000,437000,369,5691,32259,
BERBHANGI-I PWSS,3801000,3250000,361000,0,657,32452,
Berenga Pt.II PWSS,4580000,3916000,435000,417,7142,32836,
Berenga Pt.III PWSS,900000,770000,86000,331,7144,32837,
Berenga Pt.V PWSS ,4456000,3810000,423000,268,7203,32845,
Berenga PWSS ,4700000,4019000,447000,378,7118,32835,
BETBARI PWSS,3281300,2953200,328100,147,7613,29769,30006948
BETIONI KAKOTYGAON,3255700,2930100,325600,325,544,28468,8174888
BETNAPARA PWSS,4317800,3886000,431800,57,5025,23352,8203461
Betoni Pathar PWSS,1865800,1679200,186600,134,5160,32264,
BETONIPAM PWSS,652000,587000,55000,175,1291,30571,8177542
BETONIPATHER PWSS,2867100,2580400,286700,134,1362,30309,8162063
Betukandi PWSS,4700000,4018500,446500,199,7146,31206,8227162
Bezera PWSS(Revised),9214000,8293000,921000,235,5003,26925,8225853
BEZKUCHI PWSS,1230000,1051700,116900,148,1030,31805,8187271
Bezortari pwss (Revised),12065000,10858500,1206500,71,6512,29835,
BHADEYAGURI PWSS,1000000,855000,95000,86,7673,33026,
BHADRAGAON PWSS,1938000,1744200,193800,98,898,31542,
Bhaga Bazar PWSS,4300000,3676500,408500,652,7110,31616,
BHAHUA,3800000,3420000,380000,60,210,28817,
Bhaichikhuti PWSS,2517000,2153000,239000,194,3149,30973,1845292
Bhaijantipur P.W.S.Scheme,4800000,4104000,456000,326,800,30993,8182531
BHAIRIGURI PWSS,243000,208000,23000,147,1259,32927,
Bhajantipur Pt.III P.W.S.Scheme,4123600,3525700,412400,156,821,30029,8182540
BHAJANTIPUR WSS,3257000,2931000,326000,175,5887,29983,8200479
BHAKATGAON PWSS (REVISED RETRO),1335800,1142100,126900,57,3795,19565,8185354
Bhakuamari PWSS,4730000,4045000,449000,269,3152,32232,
BHALUKDUBI PWSS,4364000,3928000,436000,208,39,31013,8175220
BHALUKMARI PWSS (Revised),2631000,2249500,249900,47,144,32144,
BHANGURI PWSS (Revised),1094400,985000,109400,200,4419,28812,
BHARATNAGAR PWSS,2020000,1727000,191900,402,6701,30552,8354312
BHARATPUR WSS,3586000,3228000,359000,220,5839,31920,
BHATIPARA ISLAMPARA PWSS,5169000,4419500,491100,0,850,31568,
Bhatipara PWSS,3502000,3152000,350000,91,3522,30071,8206284
BHATIPARA PWSS (Revised),2375000,2137500,237500,92,212,28813,8316979
BHATTAPARA PWSS (revised),2522300,2270000,252200,150,8498,29757,5441466
Bhauriapara PWSS (Revised),2850000,2565000,285000,198,4421,28814,
BHEBELI PWSS,936000,842000,94000,180,4075,31026,6501620
BHEBLA BOROPARA PWS,1616000,1382000,153000,236,3876,30557,8203184
BHELAKOBA PWSS,1616000,1382000,154000,165,9041,30851,2508071
Bhelapara PWSS,6623000,5961000,662000,227,961,28695,8207153
Bhelapara PWSS,320000,200000,200000,227,28695,31584,8207153
Bheluguri Pather ,6442000,5508000,612000,90,1702,28046,8164278
BHERBHERI PWSS,4441000,3797100,421900,250,3085,31518,8194899
BHERBHERI PWSS (Revised),688000,588200,65400,20,3665,30953,8161918
Bherbherijhar PWSS,14089000,12046000,1338000,280,8371,28948,
Bherbhery PWSS,4539000,4085000,454000,302,3413,31630,8206457
BHEREKICHUK PWSS,186000,167000,19000,206,4139,31731,
BHETAGAON PWSS,4297800,3868000,429800,111,4848,29919,8221836
Bhetamukh PWSS (revised),1830000,1647000,183000,260,5575,32529,
BHIRENGAON PWSS,4609400,4148500,460900,52,5301,32133,
BHOGAGAON,4167000,3751000,417000,192,202,29454,8174768
BHOGPUR BENGENA ATI ,8160000,7344400,816000,806,3991,32613,
BHOGPUR BHALAGURI PWSS,836000,752400,83600,336,1098,29746,
Bhoiskhuli PWSS,3327000,2845000,316000,156,3363,32494,8203721
BHOMRABIL POLASHGURI PWSS,1188000,1016000,113000,257,7339,31858,
BHOMRABIL PWSS,605000,517000,58000,432,1426,31855,
Bhorakai Grant PWSS,830000,709700,78900,232,6929,30720,
BHOWRAGURI (NEW) PWSS,4320600,3888500,432100,91,5530,30982,
BHOWRAGURI (OLD) PWSS,3934000,3540600,393400,183,5106,26156,8235094
BHOWRAGURI CHOUTARA PWSS,594000,507900,56400,0,1995,29259,8206369
BHOWRAGURI PWSS,4250300,3825300,424500,86,5860,31543,
Bhubandar PWSS,4030000,3446000,383000,731,7073,32297,
Bhubankhal PWSS,830000,710000,79000,321,7060,32306,
Bhubannagar Pt.III PWSS,830000,710000,79000,210,7052,32823,
Bhubannagar PWSS,830000,710000,79000,254,7051,32822,
Bhukhradia PWSS (revised),4970000,4473000,497000,327,4425,30322,
BHUMKA PWSS,1605000,1372000,152000,182,631,32958,
Bhumlahati PWSS (revised),950000,855000,95000,436,5012,31014,8225887
Bhumuraguri PWSS,2220000,1898000,211000,303,1793,27665,8194879
BHURAPARA PWSS (revised),1900000,1710000,190000,160,216,32102,
BHURBANDHA NO. 1 PWSS,2054900,1849400,205500,84,4367,32442,
BHURBANDHA PWSS,5435000,4891500,543500,228,7246,29865,4651532
BHURBANDHA  PWSS,1485800,1337200,148600,75,1117,32268,
Bhurbondha No.3 PWSS,3523600,3171200,352400,320,4405,31972,6103392
Bhuyanbori Pam PWSS,1380400,1242300,138000,552,6979,32480,
BHUYANHAT NOWBOISA PWSS,3031700,2724900,306900,206,24,32597,
Bichabori PWSS,1700000,0,0,89,5056,32917,
BIDYANAGAR PWSS,4736700,4263000,473700,487,2988,29242,8237457
BIDYAPUR PT-1 PWSS,401000,342900,38100,175,18589,29795,30010697
Bidyardabri Pt-I PWSS,1933000,1652000,184000,0,7553,31966,4650189
BIHAPARA PWSS,2375000,2137500,237500,26,217,28816,8162000
BIHARI BASTI PWSS,1707000,1460000,162000,181,4262,29696,6518246
Bihdia PWSS (REVISED),2375000,2137500,237500,559,6233,32472,
BIHUBORI PWSS,3825300,3442700,382500,342,2638,32382,
Bijoy Nagar PWSS (REVISED),1140000,1026000,114000,839,7522,30023,
BIJOYGAON PWSS,6497100,5847300,649700,92,4831,32611,
BIJOYPUR PWSS,776000,698000,78000,437,7622,32659,
BIJOYPUR(PULIBAGAN),1932300,1739100,193200,105,337,29620,
BILASHPUR PWSS,1925700,1733100,192600,26,909,31545,
Bilbari P.W.S.S.,5911900,5320700,591200,167,2976,31221,8236547
